sets,year,theme_id,num_parts,parent_id,themes
Gears,1965,1,43,NA,Technic
Town Mini-Figures,1979,67,12,50,Classic Town
Castle 2 for 1 Bonus Offer,1987,199,0,186,Lion Knights
Space Mini-Figures,1979,143,12,126,Supplemental
Space Mini-Figures,1979,143,12,126,Supplemental
Space Mini-Figures,1979,143,2,126,Supplemental
Space Mini-Figures,1979,143,18,126,Supplemental
Castle Mini Figures,1979,189,15,186,Classic Castle
4.5V Samsonite Gears Motor Set,1965,1,3,NA,Technic
Legend of Chima: Corbeaux et Gorilles,2013,497,4,NA,Books
Master Mechanic Set,1966,366,403,365,Basic Set
Basic Building Set in Cardboard,1965,366,35,365,Basic Set
Discovery Set,1967,366,0,365,Basic Set
Special Offer,1985,67,0,50,Classic Town
Basic Building Set in Cardboard,1965,366,57,365,Basic Set
Pre-School Set,1973,505,18,504,Basic Set
Basic Building Set,1968,366,77,365,Basic Set
The Majestic Horse,2023,721,0,NA,Icons
Chain Links,1980,453,25,443,Technic
Basic Building Set,1968,366,145,365,Basic Set
Bulldozer Chain Links,1982,453,50,443,Technic
Extra Large Tires & Hubs,1982,453,4,443,Technic
Wheel Set,1966,366,183,365,Basic Set
Digger Bucket Assembly,1980,453,3,443,Technic
Basic Building Set,1968,366,110,365,Basic Set
Ninjago: Build Your Own Adventure,2015,497,74,NA,Books
Star Wars: Build Your Own Adventure: Galactic Missions,2019,497,70,NA,Books
Nursery Furniture,1979,652,7,504,Playhouse
Building Set,1973,505,29,504,Basic Set
The Race to Build It Board Game,1999,674,77,22,Early Creator
Doors and Fences,1980,443,10,NA,Service Packs
Living Room,1979,652,14,504,Playhouse
Farm Animals,1979,632,21,504,Town
Basic Building Set,1968,366,177,365,Basic Set
Propellers and Wheels,1980,443,13,NA,Service Packs
Pre-School Beginners Set,1964,369,24,365,Jumbo Bricks
Playhouse,1979,652,1,504,Playhouse
Jumbo Brick Pull Toy,1966,369,9,365,Jumbo Bricks
Basic Building Set,1968,366,225,365,Basic Set
Jumbo Bricks,1969,369,30,365,Jumbo Bricks
Farm,1979,632,66,504,Town
Assorted Clear Bricks & Plates,1969,371,37,365,Supplemental
Lighting Device Pack,1969,371,4,365,Supplemental
Hinges,1980,443,3,NA,Service Packs
Assorted Basic Bricks - Red,1966,371,50,365,Supplemental
Assorted Basic Bricks - White,1966,371,50,365,Supplemental
Assorted Basic Bricks - Blue,1966,371,50,365,Supplemental
Assorted Basic Bricks - Yellow,1966,371,50,365,Supplemental
Trees & Bushes,1966,371,25,365,Supplemental
Basic Building Set,1968,366,256,365,Basic Set
Large Wheels,1966,371,17,365,Supplemental
Small Wheels,1966,371,26,365,Supplemental
Assorted White Plates,1966,371,15,365,Supplemental
Jumbo Brick School Set,1968,369,60,365,Jumbo Bricks
Motor Wires,1980,453,6,443,Technic
Five Large Base Plates - Green,1966,371,5,365,Supplemental
Five Large Base Plates - White,1966,371,5,365,Supplemental
Five Large Base Plates - Blue,1966,371,5,365,Supplemental
Ducks,1978,505,18,504,Basic Set
Two Garage Door Kits,1969,371,6,365,Supplemental
Basic Building Set,1968,366,407,365,Basic Set
Battery Box,1980,453,1,443,Technic
Block Box,1979,505,24,504,Basic Set
Pre-School Set,1976,505,20,504,Basic Set
Pre-School Set,1975,505,17,504,Basic Set
The Ultimate LEGO Book,1999,497,0,NA,Books
Atlantis: Brickmaster,2010,497,157,NA,Books
Pirates: Brickmaster,2009,497,162,NA,Books
Ninjago: Brickmaster,2011,497,154,NA,Books
Harry Potter: Characters of the Magical World,2012,497,4,NA,Books
Pre-School Set,1975,505,21,504,Basic Set
Roadway Base Plate,1970,371,1,365,Supplemental
Basic Building Set with Train,1967,366,712,365,Basic Set
Ambassador Set,1967,366,712,365,Basic Set
Police Station,1976,505,24,504,Basic Set
4.5V Replacement Motor,1982,453,1,443,Technic
Legoville,1976,505,63,504,Basic Set
Racer,1977,505,4,504,Basic Set
Tub Boat,1978,632,3,504,Town
Super Set,1969,469,615,465,Basic Set
Trees & Flowers,1981,443,22,NA,Service Packs
Guarded Inn,2001,199,256,186,Lion Knights
Jurassic World - PC DVD,2015,742,0,501,Video Games and Accessories
Mosaic Set,1985,516,203,507,Duplo and Explore
Metroliner,2001,233,787,NA,Train
Railroad Club Car,2001,233,293,NA,Train
Harry Potter: Years 5-7 - PS Vita,2012,742,0,501,Video Games and Accessories
1 x 2 Sand Red Bricks,2001,254,100,NA,Bulk Bricks
Batman the Videogame - PSP,2008,742,0,501,Video Games and Accessories
2 x 2 Sand Red Bricks,2001,254,100,NA,Bulk Bricks
Marvel Super Heroes - PS4,2013,742,0,501,Video Games and Accessories
2 x 4 Sand Red Bricks,2001,254,50,NA,Bulk Bricks
