title,year,original_medium,revenue
Pokémon,1996,Video game,88
Mickey Mouse & Friends,1928,Animated cartoon,52.2
Winnie the Pooh,1924,Book[52],48.5
Star Wars,1977,Film,46.7
Disney Princess,2000,Animated films,45.4
Anpanman,1973,Picture book,38.4
"Wizarding World
(Harry Potter)",1997,Novel,34.5
Barbie,1987,Television special,33.9
"Marvel Cinematic Universe
(MCU)",2008,Film,32.2
Call of Duty,2003,Video game,31
Batman,1939,Comic book,29.6
Hello Kitty,1974,Cartoon character[137],28.3
Spider-Man,1962,Comic book,25.4
Transformers,1984,Animated series,25
"Dungeon Fighter Online
(DFO)",2005,Video game,22
Cars,2006,Animated film,21.5
Candy Crush,2012,Video game,20
Teenage Mutant Ninja Turtles,1984,Comic book,17.4
Looney Tunes,1930,Animated cartoon,15.9
Dora the Explorer,2000,Animated series,15.8
Pac-Man,1980,Video game,15.4
The Lion King,1994,Animated film,15.2
Toy Story,1995,Animated film,14.8
James Bond,1953,Novel,14.4
Peanuts,1950,Comic strip,14.4
PAW Patrol,2013,Animated series,14.3
Avengers,1963,Comic book,14.3
Frozen,2013,Animated film,13.9
Space Invaders,1978,Video game,13.9
SpongeBob SquarePants,1999,Animated series,13.7
Despicable Me (Minions),2010,Animated film,11.3
Star Trek,1966,Television series,10.7
Street Fighter,1987,Video game,10.7
Rilakkuma,2003,Manga,10
Monster Strike,2013,Mobile Game,10
Dragon Ball,1984,Manga,9.450000000000001
"Grand Theft Auto
(GTA)",1997,Video game,9.38
Angry Birds,2009,Video game,9.19
Thomas & Friends,1945,Book,9.12
Jurassic Park,1990,Novel,8.82
Demon Slayer: Kimetsu no Yaiba,2016,Manga,8.739999999999998
"Super Sentai /
Power Rangers",1975,Television series,8.67
Mario,1981,Video game,8.6
Fast & Furious,2001,Film,7.91
Pirates of the Caribbean,2003,Film,7.9
Ben 10,2005,Animated series,7.85
"DC Extended Universe
(DCEU)",2013,Film,7.76
"Sesame Street
(The Muppets)",1955,Television series,7.72
"Ultra Series
(Ultraman)",1966,Television series,7.4
Madden NFL,1998,Video game,7
Fate (Fate/stay night),2004,Visual novel,7
X-Men,1963,Comic book,6.9
Superman,1938,Comic book,6.9
"Middle-earth
(The Lord of the Rings)",1937,Novel,6.84
Halo,2001,Video game,6.5
Ice Age,2002,Animated film,6.42
Shrek,1990,Picture book,6.3
The Phantom of the Opera,1986,Musical theatre,6.1499999999999995
Avatar,2009,Film,5.78
Sonic the Hedgehog,1991,Video game,5.76
Yu-Gi-Oh!,1996,Manga,5.25
Mamma Mia,1975,Song,5.159999999999999
Mortal Kombat,1992,Video game,5.06
Gundam,1979,Anime series,5
The Sims,2000,Video game,5
Bob the Builder,1998,Animated series,5
My Little Pony,1984,Animated cartoon,4.99
The Simpsons,1987,Animated series,4.9
Scooby-Doo,1969,Animated series,4.6899999999999995
Beyblade,1999,Manga,4.6
The Big Bang Theory,2007,Television series,4.57
Seinfeld,1989,Television series,4.56
Twilight,2005,Novel,4.31
Minecraft,2009,Video game,4.3
Mission: Impossible,1966,Television series,4.1
Strawberry Shortcake,1979,Greeting card,4
Gran Turismo,1997,Video game,4
The Smurfs,1958,Comic,4
Cabbage Patch Kids,1982,television special,4
G.I. Joe,1967,Comic,3.9499999999999997
Genshin Impact,2020,Video game,3.6
Beauty and the Beast,1991,Animated film,3.52
Skylanders,2011,Video game,3.5
The Hunger Games,2008,Novel,3.4699999999999998
Titanic,1997,Film,3.42
Hamtaro,1997,Manga,3.02
Terminator,1984,Film,3
Astro Boy,1952,Manga,3
Thor,1962,Comic book,2.98
Iron Man,1963,Comic book,2.8899999999999997
"Godzilla
(Gojira)",1954,Film,2.71
"Resident Evil
(Biohazard)",1996,Video game,2.7
Indiana Jones,1981,Film,2.6
Madagascar,2005,Animated film,2.59
Captain America,1941,Comic book,2.55
The Powerpuff Girls,1998,Animated series,2.52
Winx Club,2004,Animated series,2.5
Friends,1994,Television series,2.5
Sailor Moon,1991,Manga,2.5
The Incredibles,2004,Animated film,2.3699999999999997
Kumamon,2010,Cartoon,2.36
Aladdin,1992,Animated film,2.3299999999999996
Black Panther,1966,Comic book,2.29
Planet of the Apes,1963,Novel,2.27
Jumanji,1981,Picture book,2.24
The Conjuring Universe,2013,Film,2.18
Finding Nemo,2003,Animated film,2.15
Guardians of the Galaxy,1969,Comic book,2.15
The Little Mermaid,1989,Animated film,2.21
MonsterVerse,2014,Film,2.09
Yo-kai Watch,2013,Video game,2.09
The Chronicles of Narnia,2005,Film,2.06
Kung Fu Panda,2008,Animated film,2.05
E.T. the Extra-Terrestrial,1982,Film,2.04
Bourne,1980,Novel,2.03
Care Bears,1981,Greeting card,2.03
Men in Black,1990,Comic book,2.02
Ghostbusters,1984,Film,2.02
Guitar Hero,2005,Video game,2
Lego,1995,Video game,2
NBA Jam,1993,Video game,2
