sets,release_year,num_parts,media_franchise,inception,original_medium,revenue
Spider-Man Action Pack,2002,25,Spider-Man,1962,Comic book,25.4
Motorized Hogwarts Express,2004,713,Harry Potter,1997,Novel,34.5
Diagon Alley,2011,2029,Harry Potter,1997,Novel,34.5
The Tower of Orthanc,2013,2362,The Lord of the Rings,1937,Novel,6.84
Ariel's Undersea Castle,2013,39,Disney Princess,2000,Animated films,45.4
Ariel's Magical Boat Ride,2012,30,Disney Princess,2000,Animated films,45.4
Mickey Mouse and Friends,2012,65,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Sleeping Beauty's Fairy Tale,2014,55,Disney Princess,2000,Animated films,45.4
Superman Rescue,2014,19,DC Comics,2013,Film,7.76
The Joker Challenge,2014,40,DC Comics,2013,Film,7.76
Batcave Adventure,2014,59,DC Comics,2013,Film,7.76
Clubhouse Café,2014,17,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Disney Princess Collection,2015,63,Disney Princess,2000,Animated films,45.4
Birthday Parade,2015,24,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Batman Adventure,2015,47,DC Comics,2013,Film,7.76
Classic Race,2015,29,Cars,2006,Animated film,21.5
Spider-Man: Spider-Car Pursuit,2014,55,Marvel,2008,Film,32.2
Spider-Man Hideout,2015,137,Marvel,2008,Film,32.2
Iron Man vs. Loki,2016,66,Marvel,2008,Film,32.2
Ariel's Dolphin Carriage,2016,70,Disney Princess,2000,Animated films,45.4
Cinderella's Carriage,2016,116,Disney Princess,2000,Animated films,45.4
Lightning McQueen Speed Launcher,2017,47,Cars,2006,Animated film,21.5
Cruz Ramirez Race Simulator,2017,59,Cars,2006,Animated film,21.5
Guido and Luigi's Pit Stop,2017,75,Cars,2006,Animated film,21.5
Mater's Junkyard,2017,62,Cars,2006,Animated film,21.5
Snow White's Forest Cottage,2017,67,Disney Princess,2000,Animated films,45.4
Willy's Butte Speed Training,2017,95,Cars,2006,Animated film,21.5
Smokey's Garage,2017,124,Cars,2006,Animated film,21.5
Thunder Hollow Crazy 8 Race,2017,191,Cars,2006,Animated film,21.5
Florida 500 Race Final,2017,266,Cars,2006,Animated film,21.5
Spider-Man vs. Scorpion Street Showdown,2018,125,Marvel,2008,Film,32.2
Belle's Story Time,2018,87,Disney Princess,2000,Animated films,45.4
Ariel's Underwater Concert,2018,92,Disney Princess,2000,Animated films,45.4
Woody & RC,2019,69,Toy Story,1995,Animated film,14.8
Duke Caboom's Stunt Show,2019,120,Toy Story,1995,Animated film,14.8
Buzz and Bo Peep's Playground Adventure,2019,139,Toy Story,1995,Animated film,14.8
Toy Story 4 RV Vacation,2019,178,Toy Story,1995,Animated film,14.8
Buzz & Woody's Carnival Mania!,2019,230,Toy Story,1995,Animated film,14.8
Carnival Thrill Coaster,2019,98,Toy Story,1995,Animated film,14.8
Spider-Man's Techno Trike,2022,59,Spider-Man,1962,Comic book,25.4
Hulk vs. Rhino Truck Showdown,2022,110,Spider-Man,1962,Comic book,25.4
Spider-Man at Doc Ock's Lab,2022,131,Spider-Man,1962,Comic book,25.4
Spider-Man Webquarters Hangout,2022,155,Spider-Man,1962,Comic book,25.4
Spider-Man's Car and Doc Ock,2023,48,Spider-Man,1962,Comic book,25.4
Team Spidey at Green Goblin's Lighthouse,2023,149,Spider-Man,1962,Comic book,25.4
Team Spidey's Mobile Headquarters,2023,187,Spider-Man,1962,Comic book,25.4
Batwing Adventure,2017,28,DC Comics,2013,Film,7.76
Mickey & Friends Beach House,2016,48,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Mickey's Workshop,2016,18,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Minnie's Cafe,2016,27,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Batcave Challenge,2017,73,DC Comics,2013,Film,7.76
Mickey Racer,2017,15,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Minnie Mouse Bow-tique,2017,70,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Flo's Café,2017,28,Cars,2006,Animated film,21.5
Cinderella's Magical Castle,2017,56,Disney Princess,2000,Animated films,45.4
Mater's Shed,2017,23,Cars,2006,Animated film,21.5
Piston Cup Race,2017,31,Cars,2006,Animated film,21.5
Minnie's Birthday Party,2018,21,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Belle's Tea Party,2018,19,Disney Princess,2000,Animated films,45.4
Rapunzel's Tower,2018,37,Disney Princess,2000,Animated films,45.4
Gentle Giants Petting Zoo,2018,24,Jurassic World,1990,Novel,8.82
T. rex Tower,2018,22,Jurassic World,1990,Novel,8.82
Mickey's Boat,2018,28,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Mickey's Vacation House,2019,57,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Toy Story Train,2019,21,Toy Story,1995,Animated film,14.8
My First Minnie Build,2019,10,Disney's Mickey Mouse,1928,Animated cartoon,52.2
My First Mickey Build,2019,9,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Frozen Ice Castle,2019,59,Disney Princess,2000,Animated films,45.4
Batcave,2020,33,DC Comics,2013,Film,7.76
Elsa & Olaf's Tea Party,2020,17,Disney Princess,2000,Animated films,45.4
Ariel's Undersea Castle,2020,35,Disney Princess,2000,Animated films,45.4
Lightning McQueen's Race Day,2020,42,Cars,2006,Animated film,21.5
Batman: Arkham Asylum Breakout,2012,1621,Batman,1939,Comic book,29.6
Dinosaur Nursery,2022,27,Jurassic World,1990,Novel,8.82
T. rex and Triceratops Dinosaur Breakout,2021,36,Jurassic World,1990,Novel,8.82
Mickey & Minnie Birthday Train,2021,22,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Minnie's House and Café,2021,91,Disney's Mickey Mouse,1928,Animated cartoon,52.2
Belle's Ballroom,2022,23,Disney Princess,2000,Animated films,45.4
Buzz Lightyear's Planetary Mission,2022,37,Toy Story,1995,Animated film,14.8
Lightning McQueen & Mater's Car Wash Fun,2023,29,Cars,2006,Animated film,21.5
Baby Raptor and Nest,2018,23,Jurassic World,1990,Novel,8.82
Owen and Lookout Tower,2018,39,Jurassic World,1990,Novel,8.82
Raptor Ambush,2019,33,Jurassic World,1990,Novel,8.82
Owen with Baby Raptor,2019,7,Jurassic World,1990,Novel,8.82
Tyrannosaurus Rex,2020,65,Jurassic World,1990,Novel,8.82
Triceratops,2020,65,Jurassic World,1990,Novel,8.82
Owen with Canoe,2020,17,Jurassic World,1990,Novel,8.82
Create Dino,2020,28,Jurassic World,1990,Novel,8.82
Vic Hoskins with Buggy,2020,35,Jurassic World,1990,Novel,8.82
Baby Dino Transport,2020,26,Jurassic World,1990,Novel,8.82
Stegosaurus,2020,64,Jurassic World,1990,Novel,8.82
Dr. Wu's Laboratory,2021,15,Jurassic World,1990,Novel,8.82
Owen with Helicopter,2021,31,Jurassic World,1990,Novel,8.82
Owen Grady and Red Motorbike,2021,14,Jurassic World,1990,Novel,8.82
Dilophosaurus,2021,67,Jurassic World,1990,Novel,8.82
Sinjin Prescott with Buggy,2021,30,Jurassic World,1990,Novel,8.82
Raptor and Hideout,2022,23,Jurassic World,1990,Novel,8.82
Tyrannosaurus Rex,2022,57,Jurassic World,1990,Novel,8.82
Raptor with Breeding Station,2022,37,Jurassic World,1990,Novel,8.82
Owen with Airboat,2022,31,Jurassic World,1990,Novel,8.82
Raptor and Nest,2022,23,Jurassic World,1990,Novel,8.82
Dino-Trap,2022,28,Jurassic World,1990,Novel,8.82
Owen and Quad,2022,37,Jurassic World,1990,Novel,8.82
Rainn Delacourt with Raptor,2022,34,Jurassic World,1990,Novel,8.82
Blue Raptor,2022,60,Jurassic World,1990,Novel,8.82
Raptor and Trap,2023,20,Jurassic World,1990,Novel,8.82
Baby Raptor with Incubator,2023,20,Jurassic World,1990,Novel,8.82
Owen with Jet Pack and Raptor,2023,23,Jurassic World,1990,Novel,8.82
Pyroraptor,2023,71,Jurassic World,1990,Novel,8.82
Raptor with Big Trap,2023,30,Jurassic World,1990,Novel,8.82
Owen with Swamp Speeder and Raptor,2023,28,Jurassic World,1990,Novel,8.82
Wildlife Guard and Raptor,2023,17,Jurassic World,1990,Novel,8.82
Owen's Mega Motorcycle,2023,10,Jurassic World,1990,Novel,8.82
Green Goblin,2002,58,Spider-Man,1962,Comic book,25.4
Wrestling Scene,2002,127,Spider-Man,1962,Comic book,25.4
Spider-Man Action Studio,2002,249,Spider-Man,1962,Comic book,25.4
Jungle Cruiser,2008,83,Indiana Jones,1981,Film,2.6
Clone Turbo Tank,2008,64,Star Wars,1977,Film,46.7
Republic Attack Cruiser,2009,84,Star Wars,1977,Film,46.7
AT-TE Walker,2009,94,Star Wars,1977,Film,46.7
Republic Gunship,2009,94,Star Wars,1977,Film,46.7
Imperial Shuttle,2010,70,Star Wars,1977,Film,46.7
AT-AT Walker,2010,83,Star Wars,1977,Film,46.7
Slave I,2011,76,Star Wars,1977,Film,46.7
Bounty Hunter Assault Gunship,2011,81,Star Wars,1977,Film,46.7
Micro World - The Village,2013,466,Minecraft,2009,Video game,4.3
Micro World - The Nether,2013,470,Minecraft,2009,Video game,4.3
Micro World - The End,2014,440,Minecraft,2009,Video game,4.3
The Cave,2014,249,Minecraft,2009,Video game,4.3
The Farm,2014,262,Minecraft,2009,Video game,4.3
The First Night,2014,408,Minecraft,2009,Video game,4.3
Crafting Box,2014,518,Minecraft,2009,Video game,4.3
The Ender Dragon,2014,636,Minecraft,2009,Video game,4.3
The Mine,2014,922,Minecraft,2009,Video game,4.3
The Dungeon,2015,219,Minecraft,2009,Video game,4.3
The Snow Hideout,2015,327,Minecraft,2009,Video game,4.3
The Desert Outpost,2015,519,Minecraft,2009,Video game,4.3
The Nether Fortress,2015,571,Minecraft,2009,Video game,4.3
The Iron Golem,2016,208,Minecraft,2009,Video game,4.3
The End Portal,2016,559,Minecraft,2009,Video game,4.3
The Jungle Tree House,2016,707,Minecraft,2009,Video game,4.3
The Wither,2016,318,Minecraft,2009,Video game,4.3
The Fortress,2016,984,Minecraft,2009,Video game,4.3
The Village,2016,1600,Minecraft,2009,Video game,4.3
The Mushroom Island,2017,247,Minecraft,2009,Video game,4.3
The Nether Railway,2017,387,Minecraft,2009,Video game,4.3
The Ice Spikes,2017,454,Minecraft,2009,Video game,4.3
The Jungle Temple,2017,598,Minecraft,2009,Video game,4.3
The Witch Hut,2017,502,Minecraft,2009,Video game,4.3
The Waterfall Base,2017,729,Minecraft,2009,Video game,4.3
The Crafting Box 2.0,2017,717,Minecraft,2009,Video game,4.3
The Ocean Monument,2017,1122,Minecraft,2009,Video game,4.3
The Mountain Cave,2017,2863,Minecraft,2009,Video game,4.3
The Melon Farm,2018,69,Minecraft,2009,Video game,4.3
The Nether Fight,2018,84,Minecraft,2009,Video game,4.3
The Chicken Coop,2018,198,Minecraft,2009,Video game,4.3
The Zombie Cave,2018,241,Minecraft,2009,Video game,4.3
The Polar Igloo,2018,278,Minecraft,2009,Video game,4.3
The Nether Portal,2018,470,Minecraft,2009,Video game,4.3
The Farm Cottage,2018,549,Minecraft,2009,Video game,4.3
The Skull Arena,2018,198,Minecraft,2009,Video game,4.3
The Skeleton Attack,2018,457,Minecraft,2009,Video game,4.3
The Bedrock Adventures,2018,644,Minecraft,2009,Video game,4.3
Minecraft Steve BigFig with Parrot,2019,159,Minecraft,2009,Video game,4.3
Minecraft Alex BigFig with Chicken,2019,160,Minecraft,2009,Video game,4.3
Minecraft Skeleton BigFig with Magma Cube,2019,142,Minecraft,2009,Video game,4.3
The End Battle,2019,222,Minecraft,2009,Video game,4.3
The Pirate Ship Adventure,2019,386,Minecraft,2009,Video game,4.3
The Wool Farm,2019,260,Minecraft,2009,Video game,4.3
The Blaze Bridge,2019,372,Minecraft,2009,Video game,4.3
The Creeper Mine,2019,834,Minecraft,2009,Video game,4.3
BigFig Creeper and Ocelot,2020,184,Minecraft,2009,Video game,4.3
BigFig Pig with Baby Zombie,2020,159,Minecraft,2009,Video game,4.3
The Panda Nursery,2020,204,Minecraft,2009,Video game,4.3
The Pillager Outpost,2020,303,Minecraft,2009,Video game,4.3
